company,policy_date,policy_url,policy_path
washingtonpost,2019-05-21 00:00:00,http://web.archive.org/web/20011031103705/http://www.washingtonpost.com:80/ac2/wp-dyn?destination=membersAgreement&node=admin/registration/register,washingtonpost/washingtonpost-2019-05-21.txt
washingtonpost,2019-02-01 00:00:00,http://web.archive.org/web/20040225020915/http://www.washingtonpost.com:80/ac2/wp-dyn?node=admin/registration/register&destination=membersAgreement,washingtonpost/washingtonpost-2019-02-01.txt
washingtonpost,2019-02-01 00:00:00,http://web.archive.org/web/20091026185129/http://www.washingtonpost.com/wp-srv/interact/longterm/talk/members.htm,washingtonpost/washingtonpost-2019-02-01.txt
washingtonpost,2019-04-23 00:00:00,http://web.archive.org/web/20100522044343/http://www.washingtonpost.com/wp-srv/interact/longterm/talk/members.htm,washingtonpost/washingtonpost-2019-04-23.txt
washingtonpost,2019-11-08 00:00:00,http://web.archive.org/web/20111109073809/http://www.washingtonpost.com/wp-srv/interact/longterm/talk/members.htm,washingtonpost/washingtonpost-2019-11-08.txt
washingtonpost,2011-11-15 00:00:00,http://web.archive.org/web/20120101031940/http://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2011-11-15.txt
washingtonpost,2014-01-09 00:00:00,http://web.archive.org/web/20140131153744/http://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2014-01-09.txt
washingtonpost,2014-07-01 00:00:00,http://web.archive.org/web/20140801050823/http://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2014-07-01.txt
washingtonpost,2014-09-15 00:00:00,http://web.archive.org/web/20141001080549/http://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2014-09-15.txt
washingtonpost,2015-01-01 00:00:00,http://web.archive.org/web/20150129201518/http://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2015-01-01.txt
washingtonpost,2016-09-13 00:00:00,http://web.archive.org/web/20161001040121/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2016-09-13.txt
washingtonpost,2017-05-02 00:00:00,http://web.archive.org/web/20170601034838/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2017-05-02.txt
washingtonpost,2017-06-16 00:00:00,http://web.archive.org/web/20170630231159/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2017-06-16.txt
washingtonpost,2018-03-22 00:00:00,http://web.archive.org/web/20180401003127/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2018-03-22.txt
washingtonpost,2018-04-24 00:00:00,http://web.archive.org/web/20180430164905/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2018-04-24.txt
washingtonpost,2018-05-24 00:00:00,http://web.archive.org/web/20180601072309/https://www.washingtonpost.com/privacy-policy/2011/11/18/gIQASIiaiN_story.html,washingtonpost/washingtonpost-2018-05-24.txt
